,Person,<=10_10-20,<=10_20-30,<=10_30-40,<=10_40-50,<=10_50-60,<=10_60-70,10-20_20-30,10-20_30-40,10-20_40-50,10-20_50-60,10-20_60-70,20-30_30-40,20-30_40-50,20-30_50-60,20-30_60-70,30-40_40-50,30-40_50-60,30-40_60-70,40-50_50-60,40-50_60-70,50-60_60-70,<=10_70+,10-20_70+,20-30_70+,30-40_70+,40-50_70+,50-60_70+,60-70_70+
35,24,,,,,,,0.45026666666666665,0.17516666666666666,0.20615000000000003,0.22043333333333334,,0.0339,0.035925,0.17933749999999998,,0.64685,0.467425,,0.5148937499999999,,,,,,,,,
36,248,,,,,,,0.37056666666666666,0.47586666666666666,0.40585000000000004,0.4328666666666667,0.3593,0.59715,0.5561916666666666,0.5137666666666667,0.39244444444444443,0.5460375,0.5504388888888889,0.42295555555555553,0.5259416666666666,0.3965916666666667,0.4043111111111111,,0.369625,0.37440416666666665,0.4314145833333333,0.44563437499999997,0.4623291666666667,0.4413
37,326,,,,,,,,,,,,,,,,0.061825,0.2349375,0.1974875,0.162925,0.1882,0.30996874999999996,,,,0.270625,0.0457,0.480675,0.334275
38,166,0.06278888888888888,0.06278888888888888,0.06278888888888888,0.06785,0.06785,0.06785,,,,,,0.19863333333333333,,,0.3602,,,0.24233333333333332,,,,0.058899999999999994,,0.20529999999999998,0.23457333333333336,,,0.35840000000000005
39,247,,,,,,,0.321166,0.26762800000000003,0.264168,0.24377750000000004,0.25973,0.330136,0.291874,0.27597875,0.2640766666666667,0.29218000000000005,0.29208749999999994,0.27653999999999995,0.487845,0.4825433333333333,0.59905625,,0.21526666666666663,0.2531708333333333,0.27243,0.43672999999999995,0.5197124999999999,0.5503513888888889
40,411,,,,,,,0.47733333333333333,0.36653,,,,0.44013166666666664,,,,,,,,,,,,,,,,
41,63,,,,,,,,,,,,0.3515166666666667,0.30455,0.34981666666666666,0.18035,0.3842916666666667,0.41052500000000003,0.29589166666666666,0.44124166666666675,0.3394875,0.40515833333333334,,,0.13798000000000002,0.26269166666666666,0.31928,0.3176666666666666,0.39529249999999994
42,318,,,,,,,0.57111,0.6807222222222221,0.831911111111111,0.5756,,0.5027944444444444,0.541121111111111,0.4714483333333333,,0.6538901234567901,0.4996481481481481,,0.5722333333333334,,,,,,,,,
43,474,,,,,,,,,,,,,,,,0.5410732142857143,0.6047819444444446,0.467275,0.6614174603174605,0.4984571428571428,0.6048733333333333,,,,,,,
44,175,,,,,,,,,,,,0.48112857142857146,0.43292,0.32284750000000006,0.359112,0.43527959183673465,0.34492321428571426,0.4222714285714285,0.44273928571428567,0.5087885714285715,0.4355974999999999,,,0.34064444444444447,0.374184126984127,0.4624952380952381,0.42851249999999996,0.49516
