,Person,<=10_10-20,<=10_20-30,<=10_30-40,<=10_40-50,<=10_50-60,<=10_60-70,10-20_20-30,10-20_30-40,10-20_40-50,10-20_50-60,10-20_60-70,20-30_30-40,20-30_40-50,20-30_50-60,20-30_60-70,30-40_40-50,30-40_50-60,30-40_60-70,40-50_50-60,40-50_60-70,50-60_60-70,<=10_70+,10-20_70+,20-30_70+,30-40_70+,40-50_70+,50-60_70+,60-70_70+
10,505,0.10551739130434781,0.10392272727272726,0.10293,0.09626875,0.07767,0.0657625,0.2379,0.30245,0.24223333333333333,0.1275,0.062975,0.29355,0.3144,0.1679,0.12363750000000001,0.3780666666666666,0.1466,0.149875,0.28719999999999996,0.16620000000000001,0.2036,,,,,,,
11,543,,,,,,,0.335825,0.3318,0.35966666666666663,0.292225,0.3041666666666667,0.37065,0.40850833333333325,0.3102875,0.3012666666666666,0.37472380952380957,0.284275,0.2582809523809524,0.33669166666666667,0.27246111111111115,0.3074208333333333,,0.2313,0.15675,0.1791,0.14853333333333332,0.34657499999999997,0.35976666666666673
12,196,,,,,,,0.46812499999999996,0.464425,0.3372625,0.23324642857142855,0.13615833333333335,0.42660833333333326,0.33839166666666665,0.25079523809523807,0.17301666666666668,0.37095,0.3214071428571428,0.24280000000000002,0.40342142857142854,0.24756666666666668,0.38718571428571424,,0.10709375,0.10522083333333333,0.1778,0.1561375,0.34893928571428573,0.3480916666666667
13,282,,,,,,,,,,,,0.105,0.1627,0.18975999999999998,0.0656875,0.3126277777777778,0.28399333333333326,0.2785583333333333,0.4001,0.3727333333333333,0.39411499999999994,,,0.063175,0.23397500000000002,0.26010833333333333,0.27738500000000005,0.36168125000000007
14,38,,,,,,,0.39561428571428575,0.31744000000000006,0.1994857142857143,0.27623000000000003,,0.3238714285714286,0.2910020408163265,0.2893314285714286,,0.26510285714285714,0.24496899999999996,,0.3139628571428572,,,,,,,,,
15,439,0.2706230769230769,0.2706230769230769,0.2706230769230769,0.27329999999999993,0.29552222222222224,0.2967625,,,,,,0.4587,0.3612166666666666,0.4371,0.39139999999999997,0.3923666666666667,0.5167,0.3957,0.4623333333333333,0.33676666666666666,0.5143,0.2914142857142857,,0.3411214285714285,0.2996285714285714,0.3090428571428571,0.4127714285714286,0.49305714285714286
16,464,,,,,,,,,,,,0.31565,0.30194999999999994,0.24737777777777778,0.2424722222222222,0.42566851851851845,0.335537037037037,0.2958925925925926,0.4149555555555555,0.3789666666666667,0.35824444444444453,,,,,,,
17,227,,,,,,,0.21424999999999997,0.11733333333333333,0.3757,0.1062,0.2255,0.37562222222222225,0.30848333333333333,0.27973333333333333,0.30016666666666664,0.3576,0.41873333333333335,0.4690666666666667,0.273,0.27085,0.4758,,,,,,,
18,362,,,,,,,,,,,,0.3554854166666666,0.33423095238095235,0.30695333333333336,0.3611583333333333,0.36758035714285714,0.25315750000000004,0.281521875,0.2774685714285714,0.2903035714285714,0.41847500000000004,,,0.24321666666666666,0.16981249999999998,0.22615714285714286,0.36978000000000005,0.516475
19,353,,,,,,,,,,,,0.40504571428571423,0.36441,0.3053222222222222,0.26934,0.41439999999999994,0.37770634920634916,0.35343571428571435,0.41139444444444445,0.35265,0.36933333333333335,,,0.17626333333333333,0.21507380952380956,0.2630208333333333,0.2711796296296296,0.3026499999999999
20,325,,,,,,,,,,,,,,,,,,,0.3564714285714285,0.2625,0.29018571428571427,,,,,,,
21,526,,,,,,,,,,,,0.4028600000000001,0.33425777777777776,0.22766000000000003,,0.4115259259259259,0.31483333333333335,,0.2859666666666667,,,,,,,,,
22,286,,,,,,,,,,,,,,,,0.4155714285714286,0.3566666666666667,0.3635333333333333,0.33796666666666664,0.3543301587301587,0.42423703703703697,,,,,,,
23,517,,,,,,,,,,,,0.3243400000000001,0.27779333333333334,0.21711666666666665,0.20091111111111112,0.27764000000000005,0.2466066666666667,0.20499333333333336,0.3845,0.33942,0.4184611111111111,,,,,,,
24,347,,,,,,,0.34346666666666675,0.32418571428571424,0.354275,0.22755714285714285,0.26089999999999997,0.3517619047619047,0.33385,0.2675214285714286,0.28923333333333334,0.40711071428571427,0.3209836734693878,0.32129523809523813,0.35770714285714283,0.34861666666666663,0.42105714285714285,,,,,,,
25,112,,,,,,,0.33462000000000003,0.22912999999999997,0.219035,0.151744,0.167132,0.29214687500000003,0.2932375,0.17668,0.215055,0.28819374999999997,0.20693999999999999,0.23876,0.2097725,0.2733175,0.21406000000000003,,0.17531454545454545,0.23010000000000008,0.22532727272727274,0.2552079545454546,0.21464727272727277,0.32598909090909084
26,131,,,,,,,,,,,,0.2957,0.3773959183673469,0.3541904761904763,0.25016666666666665,0.4212107142857143,0.38721111111111106,0.31270000000000003,0.5870507936507939,0.4783047619047619,0.5085222222222222,,,,,,,
27,79,,,,,,,0.33200625,0.3433142857142856,0.30596999999999996,0.22418333333333332,0.3425857142857142,0.36534464285714285,0.3129775,0.21631666666666663,0.27338392857142857,0.34736857142857147,0.2811714285714285,0.34699591836734694,0.28484999999999994,0.33406857142857144,0.32526666666666665,,0.32525000000000004,0.35773750000000004,0.45814285714285724,0.395,0.4036166666666667,0.5602
28,33,,,,,,,0.19662500000000002,0.184225,0.14280000000000004,0.17621666666666666,0.10123333333333333,0.477153125,0.39089999999999997,0.1387875,0.1437875,0.3984321428571428,0.21531875,0.21887500000000001,0.16957142857142854,0.1921,0.255075,,,,,,,
29,29,,,,,,,,,,,,0.2586866666666667,0.24929,0.19601,0.116012,0.322725,0.2524,0.16935999999999998,0.22723125,0.14011999999999997,0.176585,,,0.17266666666666666,0.23956666666666665,0.21908333333333332,0.3239416666666667,0.21782
30,37,,,,,,,0.0895,0.07266249999999999,0.0943875,0.054275000000000004,0.07501,0.27037500000000003,0.31901250000000003,0.1932,0.17243000000000003,0.24429531249999997,0.2154171875,0.20552624999999997,0.265025,0.22339124999999999,0.31930875,,0.04121999999999999,0.20484,0.21830249999999998,0.22325499999999998,0.34911250000000005,0.38429
31,535,,,,,,,0.3280583333333333,0.1835,0.24535,0.0938,0.134325,0.19740000000000002,0.2718666666666667,0.06376666666666665,0.14862499999999998,0.2914,0.1549,0.21671666666666667,0.0442,0.2846666666666667,0.15161666666666668,,0.0643,0.13349999999999998,0.2339,0.2357,0.0851,0.21406666666666666
32,448,,,,,,,,,,,,0.3923666666666667,0.337704,0.26312800000000003,0.20266666666666666,0.49692666666666674,0.40484999999999993,0.24981666666666666,0.41129600000000005,0.25838,0.27342666666666665,,,0.17249333333333333,0.2641916666666667,0.2989566666666667,0.32231666666666664,0.24715555555555552
