,Person,<=10_10-20,<=10_20-30,<=10_30-40,<=10_40-50,<=10_50-60,<=10_60-70,10-20_20-30,10-20_30-40,10-20_40-50,10-20_50-60,10-20_60-70,20-30_30-40,20-30_40-50,20-30_50-60,20-30_60-70,30-40_40-50,30-40_50-60,30-40_60-70,40-50_50-60,40-50_60-70,50-60_60-70,<=10_70+,10-20_70+,20-30_70+,30-40_70+,40-50_70+,50-60_70+,60-70_70+
11,199,,,,,,,0.3581125,0.24493,0.24375,0.24688333333333334,0.2515833333333333,0.43779,0.44117500000000004,0.4224833333333334,0.358425,0.4189,0.4365666666666667,0.37652,0.5402999999999999,0.5090888888888888,0.5482777777777778,,0.21405,0.32034999999999997,0.32844666666666666,0.42594444444444446,0.4677444444444444,0.5724555555555555
12,272,,,,,,,,,,,,0.46934583333333335,0.5053328125,,,0.5174972222222222,,,,,,,,,,,,
13,519,,,,,,,,,,,,,,,,0.51444,0.48775,0.41823000000000005,0.62638125,0.5424559999999999,0.5727675,,,,,,,
14,276,,,,,,,,,,,,0.4650708333333333,0.49511666666666665,0.4328666666666667,0.42395416666666663,0.410125,0.344825,0.35965,0.4194,0.408625,0.44795,,,0.40100833333333336,0.34025625000000004,0.37595,0.4448,0.5478875000000001
15,152,,,,,,,0.5641,0.2924333333333334,0.28781,,,0.4716,0.4944800000000001,,,0.5106533333333334,,,,,,,,,,,,
16,523,,,,,,,0.3244,0.29414999999999997,0.273225,0.2644,0.2609666666666666,0.5009333333333333,0.395525,0.44039999999999996,0.3905333333333334,0.4850666666666666,0.5900222222222222,0.5148111111111111,0.5371916666666666,0.5224916666666667,0.638311111111111,,0.23381666666666667,0.3711333333333333,0.48652222222222224,0.500625,0.6878333333333333,0.6029555555555555
17,229,,,,,,,0.5170022222222223,0.48126499999999994,0.36699499999999996,0.33275,,0.47531666666666667,0.36094166666666666,0.3466722222222222,,0.45945625,0.4436083333333333,,0.5007375,,,,,,,,,
18,428,,,,,,,0.48924,0.485972,,0.40351499999999996,0.37395,0.57426,,0.572525,0.51595,,0.51022,0.50101,,,0.6331125,,0.36668,0.48125,0.5085,,0.6228,0.6232
19,437,,,,,,,0.30798333333333333,0.25788333333333335,0.2748,0.24853,0.26495833333333335,0.36752222222222225,0.37686666666666674,0.3444933333333334,0.3073666666666666,0.5062266666666666,0.48373999999999995,0.4515833333333333,0.634628,0.5815,0.6052733333333333,,0.298075,0.3414000000000001,0.4424666666666666,0.56038,0.5872499999999999,0.695925
20,40,,,,,,,,,,,,,,,,0.5195839999999999,0.45508249999999995,0.41413500000000003,0.578905,0.4976649999999999,0.5025906250000001,,,,0.3624333333333333,0.4493266666666667,0.4210916666666667,0.46349999999999997
21,295,,,,,,,0.4217,0.30745,0.24240000000000003,0.21861999999999998,0.17151666666666665,0.5216000000000001,0.41533333333333333,0.39318000000000003,0.3995666666666666,0.4428666666666667,0.46046,0.4163750000000001,0.49426,0.4714277777777778,0.5054166666666666,,0.2833,0.5012,0.49974999999999997,0.5058333333333334,0.55238,0.6151333333333333
22,291,,,,,,,,,,,,0.53176,0.44059,,0.37365,0.5839519999999999,,0.47113499999999997,,0.489665,,,,0.25505,0.37101999999999996,0.40008,,0.497975
23,453,,,,,,,,,,,,0.5461057142857144,0.4784857142857143,0.522776,0.473505,0.4620877551020408,0.522282857142857,0.464975,0.48052,0.4458857142857143,0.566735,,,0.40864999999999996,0.41006666666666663,0.386052380952381,0.5024066666666667,0.5300916666666667
24,215,0.2558264705882353,0.22686153846153848,0.21666666666666667,0.19798,0.2149,,0.520246875,0.496303125,0.44305277777777774,0.405575,,0.60316875,0.5491708333333334,0.5111875,,0.6557222222222222,0.5951500000000001,,0.6828222222222222,,,,,,,,,
25,353,,,,,,,,,,,,0.640577142857143,0.562025,0.5272199999999999,0.4662,0.6240499999999999,0.5801095238095237,0.5150642857142858,0.5891555555555555,0.5256875000000001,0.5691777777777778,,,0.3578466666666667,0.39974285714285707,0.42272083333333327,0.4680981481481482,0.4991666666666667
26,427,,,,,,,0.5157428571428572,0.5252875,0.42291666666666666,0.4283083333333333,0.3581916666666667,0.4870892857142857,0.39683095238095245,0.4466142857142857,0.4023833333333333,0.4229958333333333,0.48061250000000005,0.4146958333333333,0.4569083333333333,0.3975972222222222,0.5347444444444444,,,,,,,
27,179,,,,,,,,,,,,,,,,0.23359999999999997,,0.11538333333333334,,0.19786666666666666,,,,,0.077775,0.2505,,0.5521666666666666
28,472,,,,,,,0.529748,0.4701599999999999,0.422705,,,0.50583,0.45264250000000006,,,0.5514375,,,,,,,,,,,,
29,91,,,,,,,,,,,,0.6041571428571428,0.5244133333333333,0.4878111111111112,0.4134166666666667,0.5742714285714285,0.5043142857142856,0.4445267857142857,0.5557,0.503795,0.6457604166666667,,,,,,,
30,538,,,,,,,0.5188400000000001,0.5029625,0.4494,,0.31779999999999997,0.5828,0.509215,,0.36282000000000003,0.5683,,0.387125,,0.49202500000000005,,,0.2560888888888889,0.29562,0.3127222222222221,0.33710833333333334,,0.5147111111111111
31,3,0.2641125,0.2641125,0.2579,0.25982727272727274,0.2611222222222222,0.24485714285714286,,,,,,0.5419333333333333,0.48061666666666664,0.4180333333333333,0.3832250000000001,0.5811,0.510825,0.474375,0.5566249999999999,0.502525,0.61905,0.2383333333333333,,0.3756222222222222,0.4814333333333333,0.525,0.6484166666666665,0.6474083333333334
