,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
153,367,,,0.27,0.303852381,0.3033,0.375533333,0.505507143,0.6515
154,501,,0.279,,0.52901,0.39162,0.375733333,0.1719,
155,175,,,0.4896,0.529766667,0.427552381,0.364128571,0.45967,0.415975
156,213,,,0.320866667,0.535816667,,,,
157,267,,,0.5111,0.299909524,,,,0.30462
158,80,,0.1204,0.500271429,0.47904,0.145533333,0.506766667,0.554658333,
159,479,,,,0.495733333,0.391527778,0.38242,0.307066667,0.28299
160,107,,,0.5388,0.471833333,0.40754,0.573352381,,
161,168,,,,0.0786,0.352716667,0.2601,0.3338,0.2098
162,1,,,,,0.409833333,0.612816667,,
163,426,,,0.321133333,0.0685,0.2514,0.402133333,0.08765,0.342333333
164,41,,,0.4956,,,,,
165,171,,,0.5011,0.2071,0.1978,0.484310714,0.1593,
166,555,,,,0.383733333,,0.3202,,
167,446,,,,0.420730556,0.457573333,0.536302778,,
168,323,,0.5048,,0.44265,0.391533333,,,0.415233333
169,487,,,,,0.1897,0.225533333,,
170,514,,,0.459355556,0.355306667,0.27228,,,
171,83,,,0.2888,0.414004762,0.333846667,0.366557143,0.387514286,0.243233333
172,31,,,,0.254942857,0.388095238,0.57575,,
173,271,,,0.418785714,0.376733333,0.478366667,,0.163333333,
174,502,,,0.2318,0.41142381,0.421861905,0.302814286,0.456608333,0.574066667
175,256,,,0.28933,0.358232143,0.496193333,0.507926667,0.381033333,0.413285714
176,89,,0.41981,0.366027778,0.335347222,0.383633333,,,
177,3,,,0.372966667,0.3757,0.3632,0.2722,0.35845,0.3924
178,37,,,,0.205071429,0.276975,0.320357143,0.319813333,0.49783
179,103,,,,0.144933333,,,,0.377566667
180,106,,,,,,,0.4436,0.396533333
181,139,,,,0.41508,0.436217778,0.251104444,0.316411111,0.268503571
182,19,,,0.438490476,0.459217857,0.390104444,0.501353333,,
183,431,,,0.382346429,0.559826667,0.426395238,0.390209524,0.52303,0.580557143
184,166,,,,0.3378,,,,0.42318
185,321,,,0.190033333,0.228406667,0.605883333,0.656866667,,
186,266,,,0.326133333,0.385133333,0.276566667,0.4586,0.5491,
187,343,,0.2642,0.368747619,0.331107143,0.328814286,0.277183333,0.397866667,
188,443,,,,0.484928571,0.2593,0.48995,0.2537,
189,560,,,0.3948,,0.3128,,0.32161,0.435433333
190,562,,,0.4036,,,,,
191,312,,,0.238642857,0.318239286,0.352473333,0.470633333,0.277657143,0.213066667
192,497,,,0.348921429,0.22807,0.37585,0.298866667,0.6452,
193,298,,,0.3816,0.197413333,0.293186667,0.404733333,,
194,495,,,,0.349566667,0.43371,0.473073333,0.360166667,
195,136,,,0.317346667,0.350207143,0.321733333,0.4281,0.460371429,0.435857143
196,112,,0.21138,0.385933333,0.280739286,0.290057143,0.17335,0.307013333,0.368210909
197,503,,,0.241608333,0.344888889,0.367805556,0.337157143,0.400504762,0.406366667
198,498,,,0.427975,0.365480556,0.421780952,0.53042381,,
199,226,,,0.1244,0.354314286,0.430408333,0.397990476,,
200,345,,,,0.4232,0.407806667,0.431610714,0.472553333,
201,331,,,0.285166667,0.417247619,0.330990476,0.439783333,0.5244,
202,346,,,0.327366667,0.345796429,0.2441,0.24348,0.3102,0.601233333
203,363,,0.310333333,0.256708333,0.46404,0.21115,0.253116667,0.2699,0.49523
204,275,,0.284833333,0.28268,0.198483333,,,,
205,506,,0.2816,0.394,0.443166667,0.2307,0.397966667,,
206,278,,,0.15905,0.294877778,0.294886111,0.2597,,
207,280,,0.7011,0.35268,0.35014,0.220133333,0.37546,,
208,94,,0.4501,0.26331,0.28942381,0.345972222,0.397483333,0.50707619,
209,511,,,,0.34618,0.384053571,0.32582,0.4435,
210,176,,0.3475,,,,,,
211,212,,0.404516667,0.456233333,0.364826667,0.3436,0.2207,,0.5099
212,480,,,0.36115,0.284875,0.298283333,0.359146667,0.302833333,
213,238,,,0.1845,0.477485714,0.45295,0.46944,0.5064,0.4719
214,551,,,0.45247,0.420766667,0.6778,,,
215,564,,,0.3829,0.38176,0.376233333,0.26484,0.454,0.4313
216,427,,0.547,0.422242857,0.270633333,0.235866667,0.432313333,0.462546667,
217,406,,,,0.5011,,,,0.533286111
218,122,,0.391066667,0.369213333,0.342306667,,,,0.36141
219,116,,,0.522283333,0.371895238,0.42185,0.408233333,0.43697,0.485271429
220,482,,0.2505,0.24134,0.29403,0.2602,,0.38417,
221,120,,0.17734,0.27365,0.185613333,0.25849,0.4068,0.328266667,0.393952381
