,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
179,309,,,,,,,0.163766667,0.53271
180,393,,0.3718,0.346306667,0.42198,0.2767,0.467516667,0.64484,
181,436,,,,0.55292,0.411288889,,,
182,349,,,,0.0048,0.533557143,0.608357143,0.409378571,
183,288,,,0.437628889,0.494175,0.41074,0.490589286,0.565782143,
184,387,,,0.49239,0.288957143,0.328985714,0.36711,0.3649,
185,31,,,,0.405821429,0.431266667,0.68762,,
186,154,,,,0.6102,0.37011,0.330735556,0.256333333,0.427372527
187,110,,,0.261877778,0.24623,0.230433333,0.457866667,0.521983333,0.6342
188,538,,0.3178,0.51125,0.486916667,0.436283333,,,0.355597222
189,395,,,0.231980556,0.395688889,0.280813333,0.334457143,0.50123,0.6042
190,243,,,0.304426667,0.276128571,0.460003571,0.4596,,
191,125,,,1,0.492233333,0.454866667,0.6014,,
192,472,,0.33302,0.289855556,0.481203571,0.551183333,,,
193,308,,0.235233333,0.474266667,0.324633333,0.346133333,0.0108,0.47595,0.458427273
194,134,,0.609566667,0.221504762,0.476871429,0.2953,0.517,0.422113333,0.257783333
195,514,,,0.344008333,0.3081,0.31972,,,
196,485,,,,,0.429890476,0.411657143,0.439502778,
197,307,,,0.29867,0.234889286,0.303266667,0.274133333,,0.3713
198,539,,,,0.0436,0.252033333,,0.2838,0.233383333
199,390,,,0.337586667,0.329414286,0.516633333,0.5007,,
200,403,,,0.255866667,0.27594,0.50062381,0.2593,0.353283333,0.8003
201,148,,0.0516,0.228866667,0.375066667,0.4255,0.486333333,0.533466667,0.513996429
202,426,,,0.47085,0.1138,0.407466667,0.506366667,0.255833333,0.487766667
203,279,,,0.0464,0.292895238,0.375061905,0.1468,0.44362,
204,348,,0.31969,0.370021429,0.336260714,0.369233333,,,0.5888
205,45,,,0.0761,0.39406,0.23004,0.285647619,0.33508,0.418652778
206,290,,,,0.429435556,0.34318,0.391778571,0.5275,
207,178,,,0.274833333,0.36611,0.401033333,0.569066667,0.46607,
208,139,,,,0.53848,0.397233333,0.389795556,0.339575,0.42715
209,373,,,0.4595,0.382561905,0.49676,0.4886,0.4933,0.46658
210,58,,0.0634,0.2263,0.498873333,,,,
211,158,,,,,0.431,0.205133333,0.302833333,0.55815
212,391,,,,0.424288889,0.481702222,0.436816667,0.326542857,0.550773333
213,449,,,0.394909524,0.318583333,0.48628,0.499233333,0.42553,0.603333333
214,376,,,,0.503171429,0.316893333,0.400814286,0.6636,0.51546
215,245,,0.2181,0.286982143,0.304616667,0.3126,0.35114,0.341966667,
216,381,,,,,,,0.421666667,
217,155,,0.5443,0.38746,0.394,0.258333333,0.315913333,0.3769,
218,327,,,,0.237,0.233266667,,0.3285,0.2326
219,195,,,0.274366667,0.293089286,0.389204762,0.4813,0.427338889,0.459833333
220,383,,,,,0.1416,,0.355917857,
221,505,0.4097,,0.2583,0.6056,0.154966667,,0.6158,
222,37,,,,0.330967857,0.379110714,0.326289286,0.422831111,0.57822
223,338,,,0.25254,0.383619048,0.26919,0.46487,0.30068,0.641829091
224,414,,0.232316667,0.272310714,0.29911,0.47175,0.46314,0.7597,
225,495,,,,0.36435,0.40004,0.580266667,0.246166667,
226,118,,,0.2687,0.40344,0.42833,,,0.574266667
227,238,,,0.2801,0.373261905,0.308533333,0.50504,0.4609,0.4136
228,254,,0.2598,0.230506667,0.39395,0.373517857,0.301485714,,
229,329,,,0.275285714,0.49542381,0.41022381,0.6484,,
230,212,,0.209266667,0.170933333,0.276346667,0.336583333,0.1002,,0.5918
231,74,,,,,0.4939,0.3934,,
232,488,,,0.4287,0.355980952,0.383378571,0.330663889,0.617653571,0.364033333
233,555,,,,0.172766667,,0.377233333,,
234,292,,,0.447933333,0.307983333,0.31235,0.454566667,0.5135,
235,3,,,0.500866667,0.623,0.5217,0.3479,0.5138,0.488433333
236,260,,0.6388,0.44,0.220866667,0.263533333,0.366707143,,
237,447,,,,,0.2507,0.274457143,0.299316667,0.277957143
238,287,,,,0.334932143,0.27715,0.4914,,
239,397,,,0.384266667,0.345735714,0.361626667,0.275166667,0.3609,
240,172,,,0.55464,0.43074,0.30889,0.30994,0.3915,
241,415,,,0.4733,0.480206667,0.616933333,0.3562,0.3389,0.55866
242,330,,,,,0.33027,0.578333333,0.43465,
243,188,,,0.307683333,0.345872222,0.420135714,0.313109524,0.451966667,
244,51,,0.3941,0.263689286,0.306014286,0.297102778,0.282483333,0.566733333,0.386866667
245,335,,,0.091766667,0.269193333,0.349909524,0.28422,0.3774,
246,384,,,,0.196766667,,0.5058,0.6198,0.453166667
247,465,,,0.491966667,0.29202,0.182233333,0.2351,0.364466667,0.42738
248,90,,,,0.397883333,0.544633333,0.617,,0.5457
249,282,,,,0.207933333,0.476553333,0.32756,0.585475,0.326216667
